# PeTrack project: 010_c_12_h0.pet
# raw trajectory file: 010_c_12_h0.trc
# framerate: 25 fps
# z: can be 3d position or height of person (alternating or not)
id frame x/m y/m z/m
3 3 0.414144 1.92291 1.76
3 4 0.412488 1.92354 1.76
3 5 0.412292 1.92417 1.76
3 6 0.409994 1.92353 1.76
3 7 0.41138 1.92235 1.76
3 8 0.409756 1.91848 1.76
3 9 0.41121 1.91778 1.76
3 10 0.411581 1.9164 1.76
3 11 0.411953 1.91503 1.76
3 12 0.410956 1.91093 1.76
3 13 0.4105 1.91002 1.76
3 14 0.409132 1.90729 1.76
3 15 0.408689 1.90787 1.76
3 16 0.409335 1.90136 1.76
3 17 0.408712 1.8959 1.76
3 18 0.40846 1.88907 1.76
3 19 0.40853 1.86817 1.76
3 20 0.410096 1.86498 1.76
3 21 0.409625 1.84099 1.76
3 22 0.411053 1.82293 1.76
3 23 0.402417 1.81626 1.76
3 24 0.401757 1.79828 1.76
3 25 0.401018 1.77812 1.76
3 26 0.40496 1.7435 1.76
3 27 0.399546 1.73799 1.76
3 28 0.392412 1.71364 1.76
3 29 0.389377 1.68714 1.76
3 30 0.386353 1.66075 1.76
3 31 0.381198 1.6323 1.76
3 32 0.377973 1.5996 1.76
3 33 0.380931 1.56701 1.76
3 34 0.38122 1.53458 1.76
3 35 0.385203 1.50645 1.76
3 36 0.392351 1.48266 1.76
3 37 0.397979 1.45981 1.76
3 38 0.408888 1.43817 1.76
3 39 0.412783 1.41665 1.76
3 40 0.422817 1.37892 1.76
3 41 0.426951 1.38098 1.76
3 42 0.432261 1.36204 1.76
3 43 0.431497 1.34321 1.76
3 44 0.430906 1.32861 1.76
3 45 0.430399 1.31611 1.76
3 46 0.427714 1.29951 1.76
3 47 0.419089 1.28508 1.76
3 48 0.410403 1.26861 1.76
3 49 0.401742 1.25219 1.76
3 50 0.393024 1.23376 1.76
3 51 0.384332 1.21538 1.76
3 52 0.371601 1.19504 1.76
3 53 0.362968 1.17678 1.76
3 54 0.350311 1.15657 1.76
3 55 0.337695 1.13643 1.76
3 56 0.329087 1.11633 1.76
3 57 0.314631 1.09834 1.76
3 58 0.306086 1.07836 1.76
3 59 0.297447 1.05445 1.76
3 60 0.288841 1.03064 1.76
3 61 0.282235 1.0069 1.76
3 62 0.274412 0.979247 1.76
3 63 0.263115 0.955827 1.76
3 64 0.259809 0.931887 1.76
3 65 0.252058 0.909011 1.76
3 66 0.246073 0.884386 1.76
3 67 0.242215 0.862974 1.76
3 68 0.234611 0.83755 1.76
3 69 0.234164 0.820268 1.76
3 70 0.23357 0.797302 1.76
3 71 0.238711 0.772479 1.76
3 72 0.251261 0.738239 1.76
3 73 0.25815 0.709885 1.76
3 74 0.262056 0.67888 1.76
3 75 0.263162 0.650854 1.76
3 76 0.254245 0.631535 1.76
3 77 0.257051 0.603576 1.76
3 78 0.25458 0.583298 1.76
3 79 0.250724 0.565047 1.76
3 80 0.246817 0.552311 1.76
3 81 0.240164 0.541195 1.76
3 82 0.234157 0.528453 1.76
3 83 0.225671 0.514775 1.76
3 84 0.216669 0.508545 1.76
3 85 0.21026 0.496822 1.76
3 86 0.208334 0.475972 1.76
3 87 0.200691 0.470606 1.76
3 88 0.196596 0.456204 1.76
3 89 0.194441 0.443767 1.76
3 90 0.188144 0.426437 1.76
3 91 0.180558 0.409668 1.76
3 92 0.167107 0.391921 1.76
3 93 0.155489 0.370666 1.76
3 94 0.139153 0.343339 1.76
3 95 0.119457 0.332007 1.76
3 96 0.0987277 0.311039 1.76
3 97 0.0834999 0.28137 1.76
3 98 0.0611672 0.267566 1.76
3 99 0.0507439 0.242429 1.76
3 100 0.0419525 0.228802 1.76
3 101 0.0420989 0.207041 1.76
3 102 0.0438094 0.194978 1.76
3 103 0.0527067 0.170894 1.76
3 104 0.0607037 0.151183 1.76
3 105 0.0707357 0.127587 1.76
3 106 0.0828261 0.100932 1.76
3 107 0.0943646 0.0741741 1.76
3 108 0.100132 0.0453087 1.76
3 109 0.10693 0.018553 1.76
3 110 0.11835 0.00102088 1.76
3 111 0.124133 -0.0279893 1.76
3 112 0.129836 -0.0497751 1.76
3 113 0.133438 -0.0734922 1.76
3 114 0.133152 -0.0948968 1.76
3 115 0.131317 -0.112371 1.76
3 116 0.132019 -0.133497 1.76
3 117 0.138029 -0.16276 1.76
3 118 0.133807 -0.179452 1.76
3 119 0.136944 -0.200299 1.76
3 120 0.136509 -0.222633 1.76
3 121 0.135921 -0.252794 1.76
3 122 0.123894 -0.285076 1.76
3 123 0.110192 -0.317151 1.76
3 124 0.0938245 -0.357558 1.76
3 125 0.0696172 -0.395881 1.76
3 126 0.0494395 -0.439788 1.76
3 127 0.0217962 -0.4764 1.76
3 128 0.00262856 -0.518376 1.76
3 129 -0.0151226 -0.567461 1.76
3 130 -0.0268535 -0.597685 1.76
3 131 -0.0341159 -0.639096 1.76
