,b,mean
0,1.2,2.619047619047619
1,2.3,1.863354037267081
2,3.4,2.0588235294117645
3,4.5,1.3015873015873016
4,4.5,1.3015873015873016
5,5.6,1.1479591836734695
6,5.6,1.5306122448979593
