,t,NT,motivation,num
174,6.96,9.0,high,0.0
175,7.0,9.0,high,0.0
176,7.04,9.0,high,0.0
177,7.08,9.0,high,0.0
178,7.12,9.0,high,0.0
179,7.16,10.0,high,0.0
180,7.2,11.0,high,0.0
181,7.24,11.0,high,0.0
182,7.28,11.0,high,0.0
183,7.32,11.0,high,0.0
184,7.36,11.0,high,0.0
185,7.4,11.0,high,0.0
186,7.44,11.0,high,0.0
187,7.48,11.0,high,0.0
188,7.52,11.0,high,0.0
189,7.56,11.0,high,0.0
190,7.6,11.0,high,0.0
191,7.64,11.0,high,0.0
192,7.68,12.0,high,0.0
193,7.72,12.0,high,0.0
194,7.76,12.0,high,0.0
195,7.8,12.0,high,0.0
196,7.84,12.0,high,0.0
197,7.88,12.0,high,0.0
198,7.92,12.0,high,0.0
199,7.96,12.0,high,0.0
200,8.0,12.0,high,0.0
201,8.04,12.0,high,0.0
202,8.08,12.0,high,0.0
203,8.12,12.0,high,0.0
204,8.16,12.0,high,0.0
205,8.2,12.0,high,0.0
206,8.24,12.0,high,0.0
207,8.28,12.0,high,0.0
208,8.32,12.0,high,0.0
209,8.36,12.0,high,0.0
210,8.4,12.0,high,0.0
211,8.44,12.0,high,0.0
212,8.48,12.0,high,0.0
213,8.52,12.0,high,0.0
214,8.56,12.0,high,0.0
215,8.6,13.0,high,0.0
216,8.64,13.0,high,0.0
217,8.68,13.0,high,0.0
218,8.72,13.0,high,0.0
219,8.76,13.0,high,0.0
220,8.8,13.0,high,0.0
221,8.84,13.0,high,0.0
222,8.88,13.0,high,0.0
223,8.92,13.0,high,0.0
224,8.96,13.0,high,0.0
225,9.0,13.0,high,0.0
226,9.04,13.0,high,0.0
227,9.08,13.0,high,0.0
228,9.12,13.0,high,0.0
229,9.16,13.0,high,0.0
230,9.2,13.0,high,0.0
231,9.24,13.0,high,0.0
232,9.28,13.0,high,0.0
233,9.32,13.0,high,0.0
234,9.36,13.0,high,0.0
235,9.4,13.0,high,0.0
236,9.44,13.0,high,0.0
237,9.48,13.0,high,0.0
238,9.52,13.0,high,0.0
239,9.56,13.0,high,0.0
240,9.6,13.0,high,0.0
241,9.64,13.0,high,0.0
242,9.68,14.0,high,0.0
243,9.72,14.0,high,0.0
244,9.76,14.0,high,0.0
245,9.8,14.0,high,0.0
246,9.84,14.0,high,0.0
247,9.88,14.0,high,0.0
248,9.92,14.0,high,0.0
249,9.96,14.0,high,0.0
250,10.0,14.0,high,0.0
251,10.04,14.0,high,0.0
252,10.08,14.0,high,0.0
253,10.12,14.0,high,0.0
254,10.16,14.0,high,0.0
255,10.2,14.0,high,0.0
256,10.24,14.0,high,0.0
257,10.28,14.0,high,0.0
258,10.32,14.0,high,0.0
259,10.36,14.0,high,0.0
260,10.4,14.0,high,0.0
261,10.44,14.0,high,0.0
262,10.48,14.0,high,0.0
263,10.52,14.0,high,0.0
264,10.56,14.0,high,0.0
265,10.6,14.0,high,0.0
266,10.64,14.0,high,0.0
267,10.68,14.0,high,0.0
268,10.72,14.0,high,0.0
269,10.76,14.0,high,0.0
270,10.8,14.0,high,0.0
271,10.84,14.0,high,0.0
272,10.88,14.0,high,0.0
273,10.92,14.0,high,0.0
274,10.96,14.0,high,0.0
275,11.0,15.0,high,0.0
276,11.04,15.0,high,0.0
277,11.08,15.0,high,0.0
278,11.12,15.0,high,0.0
279,11.16,15.0,high,0.0
280,11.2,15.0,high,0.0
281,11.24,15.0,high,0.0
282,11.28,15.0,high,0.0
283,11.32,15.0,high,0.0
284,11.36,15.0,high,0.0
285,11.4,15.0,high,0.0
286,11.44,15.0,high,0.0
287,11.48,15.0,high,0.0
288,11.52,15.0,high,0.0
289,11.56,15.0,high,0.0
290,11.6,15.0,high,0.0
291,11.64,15.0,high,0.0
292,11.68,15.0,high,0.0
293,11.72,15.0,high,0.0
294,11.76,15.0,high,0.0
295,11.8,15.0,high,0.0
296,11.84,15.0,high,0.0
297,11.88,15.0,high,0.0
298,11.92,15.0,high,0.0
299,11.96,15.0,high,0.0
300,12.0,16.0,high,0.0
301,12.04,16.0,high,0.0
302,12.08,16.0,high,0.0
303,12.12,16.0,high,0.0
304,12.16,16.0,high,0.0
305,12.2,16.0,high,0.0
306,12.24,16.0,high,0.0
307,12.28,16.0,high,0.0
308,12.32,16.0,high,0.0
309,12.36,16.0,high,0.0
310,12.4,16.0,high,0.0
311,12.44,16.0,high,0.0
312,12.48,16.0,high,0.0
313,12.52,16.0,high,0.0
314,12.56,17.0,high,0.0
315,12.6,17.0,high,0.0
316,12.64,17.0,high,0.0
317,12.68,17.0,high,0.0
318,12.72,17.0,high,0.0
319,12.76,17.0,high,0.0
320,12.8,17.0,high,0.0
321,12.84,17.0,high,0.0
322,12.88,17.0,high,0.0
323,12.92,17.0,high,0.0
324,12.96,17.0,high,0.0
325,13.0,18.0,high,0.0
326,13.04,18.0,high,0.0
327,13.08,19.0,high,0.0
328,13.12,19.0,high,0.0
329,13.16,19.0,high,0.0
330,13.2,19.0,high,0.0
331,13.24,19.0,high,0.0
332,13.28,19.0,high,0.0
333,13.32,19.0,high,0.0
334,13.36,19.0,high,0.0
335,13.4,19.0,high,0.0
336,13.44,19.0,high,0.0
337,13.48,19.0,high,0.0
338,13.52,19.0,high,0.0
339,13.56,19.0,high,0.0
340,13.6,19.0,high,0.0
341,13.64,19.0,high,0.0
342,13.68,19.0,high,0.0
343,13.72,19.0,high,0.0
344,13.76,19.0,high,0.0
345,13.8,19.0,high,0.0
346,13.84,19.0,high,0.0
347,13.88,19.0,high,0.0
348,13.92,19.0,high,0.0
349,13.96,19.0,high,0.0
350,14.0,19.0,high,0.0
351,14.04,19.0,high,0.0
352,14.08,19.0,high,0.0
353,14.12,19.0,high,0.0
354,14.16,19.0,high,0.0
355,14.2,19.0,high,0.0
356,14.24,19.0,high,0.0
357,14.28,19.0,high,0.0
358,14.32,19.0,high,0.0
359,14.36,19.0,high,0.0
360,14.4,19.0,high,0.0
361,14.44,19.0,high,0.0
362,14.48,19.0,high,0.0
363,14.52,19.0,high,0.0
364,14.56,19.0,high,0.0
365,14.6,20.0,high,0.0
366,14.64,20.0,high,0.0
367,14.68,20.0,high,0.0
368,14.72,20.0,high,0.0
369,14.76,20.0,high,0.0
370,14.8,20.0,high,0.0
371,14.84,20.0,high,0.0
372,14.88,20.0,high,0.0
373,14.92,20.0,high,0.0
374,14.96,20.0,high,0.0
375,15.0,20.0,high,0.0
376,15.04,20.0,high,0.0
377,15.08,20.0,high,0.0
378,15.12,20.0,high,0.0
