category,mean,p025,p975
0,6.40260783955615,5.554557275794086,7.064145630752661
1,7.275787783552629,6.6122517808678625,7.93789591138135
2,7.1105887620217105,6.224272096819277,7.732036980562717
3,6.620669704255111,5.764575595318635,7.9892061581653895
4,6.056724682806109,4.1523133966164725,7.295379939578574
5,6.397662906600656,5.545504823809045,7.2427065249633005
