,cum,t
0,0.0,0.0
1,0.0,0.04
2,0.0,0.08
3,0.0,0.12
4,0.0,0.16
5,0.0,0.2
6,0.0,0.24
7,0.0,0.28
8,0.0,0.32
9,0.0,0.36
10,0.0,0.4
11,0.0,0.44
12,0.0,0.48
13,0.0,0.52
14,0.0,0.56
15,0.0,0.6
16,0.0,0.64
17,0.0,0.68
18,0.0,0.72
19,0.0,0.76
20,0.0,0.8
21,0.0,0.84
22,0.0,0.88
23,0.0,0.92
24,0.0,0.96
25,0.0,1.0
26,0.0,1.04
27,0.0,1.08
28,0.0,1.12
29,0.0,1.16
30,0.0,1.2
31,0.0,1.24
32,0.0,1.28
33,0.0,1.32
34,0.0,1.36
35,0.0,1.4
36,0.0,1.44
37,0.0,1.48
38,0.0,1.52
39,0.0,1.56
40,0.0,1.6
41,0.0,1.64
42,0.0,1.68
43,0.0,1.72
44,0.0,1.76
45,1.0,1.8
46,1.0,1.84
47,1.0,1.88
48,1.0,1.92
49,1.0,1.96
50,1.0,2.0
51,1.0,2.04
52,1.0,2.08
53,1.0,2.12
54,1.0,2.16
55,1.0,2.2
56,1.0,2.24
57,1.0,2.28
58,1.0,2.32
59,1.0,2.36
60,1.0,2.4
61,1.0,2.44
62,1.0,2.48
63,1.0,2.52
64,1.0,2.56
65,1.0,2.6
66,1.0,2.64
67,1.0,2.68
68,1.0,2.72
69,1.0,2.76
70,1.0,2.8
71,1.0,2.84
72,1.0,2.88
73,1.0,2.92
74,1.0,2.96
75,1.0,3.0
76,1.0,3.04
77,1.0,3.08
78,1.0,3.12
79,2.0,3.16
80,2.0,3.2
81,2.0,3.24
