,b,mean
0,1.2,2.9761904761904763
1,2.3,2.1118012422360253
2,3.4,2.0168067226890756
3,4.5,1.3333333333333333
4,4.5,1.3333333333333333
5,5.6,1.3520408163265307
6,5.6,1.6071428571428574
