category,mean,p025,p975
0,2.4193170137363804,1.8985419324724968,2.976760999997215
1,4.9552054456468655,3.7070825888048398,5.887073930991901
2,5.017910796198381,4.727985356374601,5.5530816421031535
3,4.7966424135058885,3.8622339746448078,5.613852579110955
4,5.223401065561499,4.626383893308711,5.617743745084573
5,4.839188707177859,4.209492138880358,5.437920724439098
