,b,DT,mot
0,3.4,0.8826086956521738,high
1,1.2,0.8058536585365853,high
2,4.5,0.9580952380952381,low
3,5.6,1.0155555555555553,high
4,5.6,0.9611111111111109,low
5,4.5,0.8495238095238096,high
6,1.2,1.0009756097560976,low
7,3.4,0.9730434782608696,low
8,5.6,0.8785185185185186,low
9,2.3,0.7752380952380953,high
10,4.5,0.7847619047619048,high
11,5.6,0.8081481481481482,high
12,2.3,0.8895238095238095,low
13,4.5,0.9161904761904763,low
