,DT,motivation
0,0.47999999999999954,high
1,0.9199999999999999,high
2,1.08,high
3,1.3200000000000003,high
4,1.0,high
5,0.5600000000000005,high
6,0.4399999999999995,high
7,0.08000000000000007,high
8,1.5199999999999996,high
9,1.6399999999999988,high
10,0.6800000000000033,high
11,0.0799999999999983,high
12,1.0,high
13,0.35999999999999943,high
14,0.5600000000000023,high
15,1.879999999999999,high
16,0.879999999999999,high
17,0.6400000000000006,high
18,0.7199999999999989,high
19,0.3200000000000003,high
20,1.120000000000001,high
21,0.0799999999999983,high
22,1.9200000000000017,high
23,0.7199999999999989,high
24,1.0,high
25,1.2800000000000011,high
26,0.28000000000000114,high
27,0.9599999999999973,high
28,1.120000000000001,high
29,0.03999999999999915,high
30,1.4800000000000004,high
31,0.7999999999999972,high
32,1.0400000000000063,high
33,0.7999999999999972,high
34,0.35999999999999943,high
35,0.9600000000000009,high
36,0.9600000000000009,high
37,1.3999999999999986,high
38,1.1600000000000037,high
39,0.7199999999999989,high
40,1.3200000000000003,high
41,1.1999999999999957,high
42,0.5200000000000031,high
43,1.240000000000002,high
44,1.0,high
45,0.9599999999999937,high
46,0.5600000000000005,high
47,0.879999999999999,high
48,0.8399999999999999,high
49,0.7200000000000006,high
50,0.7599999999999998,high
51,1.040000000000001,high
52,0.27999999999999936,high
53,1.4000000000000004,high
54,0.5999999999999996,high
55,0.6400000000000006,high
56,0.879999999999999,high
57,0.879999999999999,high
58,0.6400000000000006,high
59,0.7200000000000024,high
60,1.4399999999999977,high
61,0.6799999999999997,high
62,0.08000000000000185,high
63,0.879999999999999,high
64,1.2800000000000011,high
65,0.4800000000000004,high
66,0.759999999999998,high
67,0.6000000000000014,high
68,0.7199999999999989,high
69,0.9600000000000009,high
70,1.120000000000001,high
71,1.0799999999999983,high
72,0.9200000000000017,high
73,0.4399999999999977,high
74,0.5600000000000023,high
75,0.7199999999999989,high
76,1.1199999999999974,high
77,0.9200000000000017,high
78,0.6799999999999997,high
79,0.759999999999998,high
80,1.3200000000000003,high
81,0.5200000000000031,high
82,0.8800000000000026,high
83,0.6799999999999997,high
84,1.1599999999999966,high
85,1.0799999999999983,high
86,0.35999999999999943,high
87,0.8000000000000007,low
88,0.8399999999999999,low
89,0.5199999999999996,low
90,1.2400000000000002,low
91,1.3599999999999994,low
92,0.9199999999999999,low
93,0.7599999999999998,low
94,1.040000000000001,low
95,1.120000000000001,low
96,0.7199999999999989,low
97,0.8000000000000007,low
98,0.7199999999999989,low
99,1.3599999999999994,low
100,0.5199999999999996,low
101,1.2000000000000028,low
102,0.759999999999998,low
103,2.080000000000002,low
104,0.6799999999999997,low
105,1.1999999999999993,low
106,0.4800000000000004,low
107,1.0,low
108,0.5199999999999996,high
109,1.8399999999999999,high
110,0.040000000000000924,high
111,0.5199999999999996,high
112,1.2799999999999994,high
113,0.9600000000000009,high
114,2.3199999999999985,high
115,0.4400000000000013,high
116,1.759999999999998,high
117,3.080000000000002,high
118,0.120000000000001,high
119,3.919999999999998,high
120,0.16000000000000014,high
121,1.9600000000000009,high
122,0.4400000000000013,high
123,1.0399999999999991,high
124,0.8000000000000007,high
125,0.1999999999999993,high
126,1.3599999999999994,high
127,0.7199999999999989,high
128,1.0,high
129,0.9600000000000009,high
130,0.6000000000000014,high
131,0.9200000000000017,high
132,1.0399999999999991,high
133,0.4799999999999969,high
134,0.28000000000000114,high
135,1.5600000000000023,high
136,0.0,high
137,0.5999999999999943,high
138,1.0400000000000063,high
139,0.759999999999998,high
140,0.5600000000000023,high
141,1.4799999999999969,high
142,0.3200000000000003,high
143,1.4799999999999969,high
144,0.9199999999999999,low
145,0.879999999999999,low
146,1.200000000000001,low
147,0.7999999999999989,low
148,1.08,low
149,0.5200000000000014,low
150,1.4399999999999995,low
151,0.8399999999999981,low
152,1.3200000000000003,low
153,0.8399999999999999,low
154,1.0,low
155,0.8800000000000026,low
156,0.759999999999998,low
157,1.240000000000002,low
158,0.759999999999998,low
159,1.0,low
160,0.9600000000000009,low
161,0.8000000000000007,low
162,1.3200000000000003,low
163,1.0799999999999983,low
164,0.9200000000000017,low
165,0.23999999999999844,low
166,1.2800000000000011,low
167,1.120000000000001,low
168,1.1600000000000001,low
169,0.6400000000000006,low
170,0.9600000000000009,low
171,1.0,low
172,0.8399999999999963,low
173,0.9600000000000009,low
174,1.0799999999999983,low
175,1.1600000000000037,low
176,0.7999999999999972,low
177,1.0,low
178,0.7199999999999989,low
179,1.0799999999999983,low
180,0.6000000000000005,high
181,1.0399999999999991,high
182,1.040000000000001,high
183,0.47999999999999865,high
184,1.5200000000000014,high
185,1.1600000000000001,high
186,0.3999999999999986,high
187,1.4800000000000004,high
188,1.6399999999999988,high
189,0.8800000000000026,high
190,0.03999999999999915,high
191,1.6799999999999997,high
192,0.9200000000000017,high
193,0.759999999999998,high
194,0.4800000000000004,high
195,0.28000000000000114,high
196,0.4800000000000004,high
197,1.0399999999999991,high
198,0.9199999999999982,high
199,0.5600000000000023,high
200,0.4399999999999977,high
201,1.1999999999999993,low
202,0.9600000000000009,low
203,1.0,low
204,0.8399999999999999,low
205,1.0399999999999991,low
206,1.0,low
207,1.1600000000000001,low
208,0.879999999999999,low
209,0.7200000000000024,low
210,1.120000000000001,low
211,1.3199999999999967,low
212,0.8000000000000007,low
213,1.0,low
214,0.9600000000000009,low
215,0.6000000000000014,low
216,1.3200000000000003,low
217,0.9599999999999973,low
218,1.0,low
219,0.6000000000000014,low
220,1.120000000000001,low
221,1.8399999999999963,low
222,0.3200000000000003,low
