,b,rho_ini,mot
0,1.2,3.5413428219602427,_lm
1,2.3,2.3950574177309862,_lm
2,3.4,2.2979360846344994,_lm
3,4.5,1.5555553183619275,_lm
4,4.5,1.5555761763302551,_lm
5,5.6,1.5661080675776222,_lm
6,5.6,1.8626127793870353,_lm
7,1.2,3.1099065835628275,_hm
8,2.3,2.1372844156146167,_hm
9,3.4,2.3670604455588755,_hm
10,4.5,1.514723839092271,_hm
11,4.5,1.5185821946227918,_hm
12,5.6,1.3639448732165176,_hm
13,5.6,1.835711389771185,_hm
