category,mean,b,p975,p025
0,4.594064219542854,0.6,5.892860599082574,3.7636079034487406
1,6.492932548334245,1.15,7.561469713287681,5.177630518311256
2,7.145723818176215,1.7,7.8426566444367145,6.358436301524767
3,7.2347616861204305,2.25,7.896250502875107,6.304548464788751
4,7.5772436630371445,2.8,8.225017683641246,6.806302854256269
