,r,ttt
444,1.302,14.3125
445,1.282,13.75
446,1.253,12.3125
447,1.213,12.729166666666666
448,3.711,55.4375
449,3.584,54.4375
450,3.412,53.4375
451,3.345,52.4375
452,3.198,51.4375
453,3.013,50.4375
454,2.894,49.4375
455,2.824,48.4375
456,2.749,47.4375
457,2.7,46.4375
458,2.706,45.4375
459,2.628,44.4375
460,2.553,43.4375
461,2.508,42.6875
462,2.469,50.21875
463,2.441,40.4375
464,2.373,39.4375
465,2.33,38.4375
466,2.284,37.4375
467,2.31,36.4375
468,0.485,4.53125
469,0.427,3.375
470,0.371,2.375
471,0.306,1.375
472,0.286,0.375
473,1.123,14.875
474,1.069,13.875
475,1.025,12.875
476,1.002,11.875
477,0.967,10.875
478,0.944,9.875
479,0.926,8.875
480,0.886,11.53125
481,0.796,6.875
482,0.657,4.8125
483,0.494,4.875
484,0.446,2.875
485,0.424,2.875
486,0.368,1.875
487,0.287,0.875
488,1.011,13.4375
489,0.961,12.4375
490,0.93,10.0625
491,0.917,10.4375
492,0.912,9.4375
493,0.832,6.9375
494,0.792,6.90625
495,0.75,6.4375
496,0.706,5.15625
497,0.636,4.4375
498,0.461,3.4375
499,0.355,2.4375
500,0.272,1.4375
501,0.21,0.4375
502,2.661,51.65625
503,2.56,44.4375
504,2.455,43.4375
505,2.377,42.4375
506,2.307,41.4375
507,2.251,40.4375
508,2.201,42.09375
509,2.16,40.59375
510,2.124,37.4375
511,2.076,39.125
512,2.046,35.4375
513,2.016,34.4375
514,1.98,33.4375
515,1.958,32.4375
516,1.929,35.208333333333336
517,1.901,35.59375
518,1.855,29.4375
519,1.812,29.46875
520,1.768,27.4375
521,1.725,26.4375
522,0.335,0.5625
523,2.246,48.6875
524,2.147,47.6875
525,2.052,46.6875
526,1.989,45.6875
527,1.938,36.1875
528,1.887,43.6875
529,1.856,42.6875
530,1.824,41.6875
531,1.795,40.6875
532,1.766,39.6875
533,1.744,38.6875
534,1.722,37.6875
535,1.703,36.6875
536,1.693,32.125
537,1.671,34.6875
538,1.652,33.6875
539,1.642,32.6875
540,1.623,31.6875
541,1.611,30.6875
542,1.591,25.84375
543,0.497,2.875
544,0.446,2.875
545,0.273,0.875
546,0.82,8.0
547,0.778,7.0
548,0.742,6.0
549,0.686,5.0
550,0.658,4.0
551,0.629,3.0
552,0.552,2.0
553,0.425,1.0
554,0.121,0.0
555,3.168,57.5625
556,3.046,56.5625
557,2.901,55.5625
558,2.855,54.5625
559,2.828,55.9375
560,2.812,52.5625
561,2.688,51.5625
562,2.68,50.5625
563,2.636,49.5625
564,2.556,48.5625
565,2.471,47.5625
566,2.369,46.5625
567,2.289,45.5625
568,2.252,45.65625
569,2.206,43.5625
570,2.178,42.5625
571,2.12,41.5625
572,2.125,40.5625
573,2.071,37.625
574,2.093,37.625
575,1.789,27.71875
576,1.649,24.5625
577,1.518,23.5625
578,1.383,23.666666666666668
579,1.322,21.5625
580,1.222,18.65625
581,1.194,19.5625
582,1.212,18.5625
583,1.148,18.625
584,1.138,16.5625
585,1.055,18.375
586,0.975,14.71875
587,0.975,14.71875
588,0.975,14.71875
589,0.928,8.28125
590,0.931,10.5625
591,0.914,9.5625
592,0.786,8.5625
593,0.728,7.5625
594,0.659,6.5625
595,2.11,36.5625
596,2.008,35.5625
597,1.942,34.5625
598,1.89,41.15625
599,1.844,32.5625
600,1.794,31.5625
601,1.759,30.5625
602,1.715,29.5625
603,1.693,32.125
604,1.657,27.5625
605,1.629,24.375
606,1.599,25.5625
607,1.57,26.75
608,1.548,22.375
609,1.506,21.375
610,1.461,21.5625
611,1.418,20.5625
612,1.382,19.5625
613,1.332,17.4375
614,1.289,17.5625
615,1.591,25.84375
616,1.528,21.0
617,1.486,20.0
618,1.429,19.0
619,1.394,18.0
620,1.366,17.0
621,1.337,16.0
622,1.309,16.1875
623,1.274,14.0
624,1.246,13.0
625,1.204,12.0
626,1.177,11.0
627,1.142,12.21875
628,1.099,9.0
629,1.063,8.0
630,1.013,7.0
631,0.977,6.0
632,0.928,8.28125
633,0.863,4.0
634,0.764,3.0
635,3.257,49.9375
636,3.173,48.9375
637,3.064,47.9375
638,2.921,46.9375
639,2.779,45.9375
640,2.681,44.9375
641,2.584,43.9375
642,2.508,42.6875
643,2.476,41.9375
644,2.46,40.9375
645,2.388,39.9375
646,2.325,38.9375
647,2.258,37.9375
648,2.187,36.9375
649,2.158,35.9375
650,2.088,34.9375
651,2.003,33.9375
652,1.967,32.28125
653,1.929,35.208333333333336
654,1.918,30.3125
655,2.618,41.625
656,2.533,40.625
657,2.544,39.625
658,2.38,38.625
659,2.277,37.625
660,2.193,36.625
661,2.099,35.625
662,2.015,34.625
663,1.973,33.625
664,1.968,32.625
665,1.909,31.625
666,1.881,30.625
667,1.825,29.625
668,1.807,26.65625
669,1.713,27.625
670,1.655,26.625
671,1.619,25.625
672,1.575,26.4375
673,1.548,22.375
674,1.543,22.625
675,2.759,62.0
676,2.649,61.0
677,2.57,60.0
678,2.469,50.21875
679,2.389,58.0
680,2.338,57.0
681,2.287,48.3125
682,2.243,55.0
683,2.203,45.8125
684,2.172,43.833333333333336
685,2.152,52.0
686,2.121,51.0
687,2.102,50.0
688,2.082,49.0
689,2.072,48.0
690,2.051,47.0
691,2.021,46.0
692,2.011,39.34375
693,1.99,44.0
694,1.97,47.375
695,3.18,51.3125
696,3.051,50.3125
697,2.938,49.3125
698,2.857,48.3125
699,2.795,47.3125
700,2.732,46.3125
701,2.683,45.3125
702,2.624,44.3125
703,2.54,42.8125
704,2.54,42.8125
705,2.487,41.3125
706,2.44,40.3125
707,2.399,39.3125
708,2.459,38.3125
709,2.479,33.59375
710,2.413,36.3125
711,2.336,43.28125
712,2.321,34.3125
713,2.363,33.3125
714,2.319,32.3125
715,2.403,52.25
716,2.336,43.28125
717,2.273,50.25
718,2.216,49.25
719,2.157,48.25
720,2.108,47.25
721,2.059,46.25
722,2.019,45.25
723,1.983,44.25
724,1.952,43.25
725,1.929,35.208333333333336
726,1.907,41.25
727,1.879,43.416666666666664
728,1.857,32.21875
729,1.835,38.25
730,1.817,37.25
731,1.789,27.71875
732,1.78,33.109375
733,1.749,34.25
734,1.731,29.875
735,2.303,29.1875
736,2.21,28.1875
737,2.065,27.1875
738,1.945,26.1875
739,1.857,32.21875
740,1.789,27.71875
741,1.73,31.96875
742,1.726,38.84375
743,1.634,21.1875
744,1.571,20.1875
745,1.513,19.1875
746,1.499,22.1875
747,1.446,17.1875
748,1.365,16.1875
749,1.347,19.46875
750,1.282,13.75
751,1.236,13.1875
752,1.159,12.1875
753,1.114,12.4375
754,1.051,11.28125
755,2.888,60.875
756,2.793,59.875
757,2.73,58.875
758,2.661,51.65625
759,2.597,56.875
760,2.543,55.875
761,2.485,42.875
762,2.435,53.875
763,2.386,52.875
764,2.354,51.875
765,2.327,50.875
766,2.296,49.875
767,2.265,48.875
768,2.238,47.875
769,2.207,46.875
770,2.184,40.75
771,2.167,43.875
772,2.145,43.875
773,2.167,43.875
774,2.172,43.833333333333336
775,2.613,65.5
776,2.447,64.5
777,2.37,63.5
778,2.215,56.15625
779,2.131,61.5
780,2.068,60.5
781,2.0,56.125
782,1.961,58.5
783,1.955,57.5
784,1.879,43.416666666666664
785,1.726,38.84375
786,1.624,54.5
787,1.534,40.71875
788,1.555,52.5
789,1.68,51.5
790,1.593,50.5
791,1.556,49.5
792,1.443,48.5
793,1.376,47.5
794,1.351,34.59375
